Date,ABER_BAND_20_15_USU_L2_EXTI32_STF_BIN,ABER_BAND_20_15_USU_L3_EXTI35_STF_BIN,ABER_XG_20_15_USU_L2_EXTI20_BIN,AD_DIFF_USU_L4_EXTI2_BIN,BBPL_20_2_0_USU_L1_EXTI7_BIN,D_J_USU_L5_EXTI29_BIN,K_J_USU_L2_EXTI0_BIN,K_J_USU_L5_EXTI6_BIN,PVOh_12_26_9_L5_EXTI18_BIN,PVOh_12_26_9_L6_EXTI38_BIN,QQE_DELS_USU_L5_EXTI35_BIN,SMIo_5_20_5_L3_EXTI27_BIN,WCP_USU_L2_EXTI22_BIN,ABER_BAND_20_15_USU_L2_EXTI32_STF,ABER_BAND_20_15_USU_L3_EXTI35_STF,ABER_XG_20_15_USU_L2_EXTI20,AD_DIFF_USU_L4_EXTI2,BBPL_20_2_0_USU_L1_EXTI7,D_J_USU_L5_EXTI29,K_J_USU_L2_EXTI0,K_J_USU_L5_EXTI6,PVOh_12_26_9_L5_EXTI18,PVOh_12_26_9_L6_EXTI38,QQE_DELS_USU_L5_EXTI35,SMIo_5_20_5_L3_EXTI27,WCP_USU_L2_EXTI22,target,Close,Open,High,Low,Volume
2024-09-10,3,1,1,2,2,3,3,2,3,3,3,1,2,0.040171310795295234,-0.06745848300802892,-50.02715679275571,-984632406.1560059,0.34001064380026064,45.45610188021479,23.865320865170148,-7.4317423464908074,2.6913763681219813,25.476866356005697,5.829292985199096,-0.05616358727034576,-0.0025000572204589844,1,526.3200073242188,519.8300170898438,529.0599975585938,519.8300170898438,542403
2024-09-09,1,2,2,1,1,3,3,1,3,3,3,1,1,-0.023785882694378202,-0.013551332128141969,-8.563030468086664,-4083823154.329651,0.19601027278918076,37.476813348502596,28.38173914097262,-11.734888601759309,2.233621283430488,42.95799840172672,6.45237216878683,-0.06682580754199482,-0.022500038146972656,1,519.52001953125,514.6300048828125,528.4500122070312,514.6300048828125,322067
2024-09-06,2,3,1,2,2,3,3,1,3,3,3,2,3,0.004312178887894813,0.056186839189032334,-98.94753507732442,-1230799290.9594727,0.4906382060637936,26.87430071360339,31.113708841230736,-19.69756862348565,0.8988434673645846,66.20764733078464,6.515929065040012,-0.013600783831793195,0.01249992847442627,1,516.0599975585938,527.6300048828125,531.5,513.1199951171875,147480
2024-09-05,3,3,1,3,2,3,3,1,1,3,3,2,2,0.020876364662822722,0.04167896749540212,-88.33325289712916,5193591649.993408,0.34729424643748846,48.545834818543774,29.590496264748193,-34.92499211182407,-1.7606596113866537,89.8626988671185,6.563363484429367,-0.013735492873661215,0.0,0,525.6599731445312,526.3800048828125,537.1799926757812,524.3900146484375,338927
2024-09-04,2,3,1,1,1,3,3,1,1,3,3,2,3,0.005013471722112417,0.02368227003366652,-47.54447784875248,-4463826407.236389,0.3216559935234054,46.229649883921994,17.827316974500796,-39.723722595782235,-2.3221546499589847,0.9450848245817483,6.6354842427475305,-0.011527597495907371,0.047500014305114746,0,529.1699829101562,523.010009765625,537.1599731445312,522.2899780273438,402152
2024-09-03,2,2,2,2,2,3,2,1,1,3,3,2,1,-0.01261292656242663,-0.0019629961581637545,-5.16462275241438,-1419180829.1696167,0.43965059933523676,22.011796204906787,-5.410675036907854,-43.412845068363794,-2.9195515865707,1.3078490064071175,6.717256549031859,-0.0044796355369083884,-0.08500015735626221,0,526.4000244140625,530.2000122070312,537.7899780273438,523.8499755859375,295513
2024-09-02,2,1,2,3,2,3,1,1,1,2,3,2,3,-0.0141654837553713,-0.05757070244065421,36.85685468498443,2954959925.97406,0.5514963184790961,16.326815946232884,-13.763363582698126,-38.08240611546574,-2.8111210486495164,-0.14216019322083895,6.799376861726145,0.022192080311968232,0.19249999523162842,0,529.989990234375,530.5900268554688,545.0499877929688,525.97998046875,222026
2024-08-30,1,2,2,1,3,2,2,1,1,2,3,3,1,-0.04313462225151232,-0.029808927695363696,6.027636262487582,-2003241689.2949219,0.7555289573959143,0.5181643276053478,-9.8917998917698,-20.743355347036278,-2.8094722344968037,-0.9300576248691499,6.880566084707034,0.041338541421522434,-0.009999871253967285,0,527.719970703125,535.5499877929688,536.5499877929688,526.0800170898438,801520
2024-08-29,1,1,2,2,2,2,1,2,1,2,3,3,2,-0.030592552573808884,-0.061458667214755014,87.59177485112743,2546151568.0108643,0.6838857148381773,-1.1690328508622514,-20.46164020007317,5.062790529465275,-3.5847623815873653,-1.779687247327388,6.524702128499285,0.059910366348584654,0.0,0,533.5700073242188,520.6799926757812,537.8900146484375,520.6799926757812,378839
2024-08-28,1,1,3,1,3,1,1,3,1,2,2,3,1,-0.032947003737704206,-0.04808940926432914,120.89969618115298,-4351446482.78125,0.8842408047669575,-23.886129758045968,-23.95128012599544,15.40495874905501,-3.6041764084283203,-2.6402662304467697,4.716897341283946,0.06376383476026654,-0.10000002384185791,0,532.010009765625,523.0,543.0,522.0,372481
2024-08-27,2,3,3,2,3,1,2,3,1,2,3,3,1,-0.013647573890720688,0.02842597455827134,93.63008170898141,2324004378.6176147,0.938675847765155,-31.410175669505435,5.888006171126278,17.109626889965423,-3.74208117889321,-4.104256570637105,5.942533663895141,0.06322988383136086,-0.060000061988830566,1,522.010009765625,529.7899780273438,535.969970703125,521.4500122070312,330057
