Date,ABER_BAND_20_15_USU_L2_EXTI32_STF_BIN_1,ABER_BAND_20_15_USU_L2_EXTI32_STF_BIN_2,ABER_BAND_20_15_USU_L2_EXTI32_STF_BIN_3,ABER_BAND_20_15_USU_L3_EXTI35_STF_BIN_1,ABER_BAND_20_15_USU_L3_EXTI35_STF_BIN_2,ABER_BAND_20_15_USU_L3_EXTI35_STF_BIN_3,ABER_XG_20_15_USU_L2_EXTI20_BIN_1,ABER_XG_20_15_USU_L2_EXTI20_BIN_2,ABER_XG_20_15_USU_L2_EXTI20_BIN_3,AD_DIFF_USU_L4_EXTI2_BIN_1,AD_DIFF_USU_L4_EXTI2_BIN_2,AD_DIFF_USU_L4_EXTI2_BIN_3,BBPL_20_2_0_USU_L1_EXTI7_BIN_1,BBPL_20_2_0_USU_L1_EXTI7_BIN_2,BBPL_20_2_0_USU_L1_EXTI7_BIN_3,D_J_USU_L5_EXTI29_BIN_1,D_J_USU_L5_EXTI29_BIN_2,D_J_USU_L5_EXTI29_BIN_3,K_J_USU_L2_EXTI0_BIN_1,K_J_USU_L2_EXTI0_BIN_2,K_J_USU_L2_EXTI0_BIN_3,K_J_USU_L5_EXTI6_BIN_1,K_J_USU_L5_EXTI6_BIN_2,K_J_USU_L5_EXTI6_BIN_3,PVOh_12_26_9_L5_EXTI18_BIN_1,PVOh_12_26_9_L5_EXTI18_BIN_2,PVOh_12_26_9_L5_EXTI18_BIN_3,PVOh_12_26_9_L6_EXTI38_BIN_1,PVOh_12_26_9_L6_EXTI38_BIN_2,PVOh_12_26_9_L6_EXTI38_BIN_3,QQE_DELS_USU_L5_EXTI35_BIN_1,QQE_DELS_USU_L5_EXTI35_BIN_2,QQE_DELS_USU_L5_EXTI35_BIN_3,SMIo_5_20_5_L3_EXTI27_BIN_1,SMIo_5_20_5_L3_EXTI27_BIN_2,SMIo_5_20_5_L3_EXTI27_BIN_3,WCP_USU_L2_EXTI22_BIN_1,WCP_USU_L2_EXTI22_BIN_2,WCP_USU_L2_EXTI22_BIN_3,target,probs
2024-08-27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3091435016726866
2024-08-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5587992293723114
2024-08-23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6186734162900243
2024-08-22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6046838915363227
2024-08-21,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6178104261499234
2024-08-20,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3916762173398317
2024-08-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.35243421135059616
2024-08-16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4589028635840934
2024-08-15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5339881320206203
2024-08-14,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5645639873051332
