Date,ABER_SG_20_15_USU_EXTI7_BIN,ACCBU_20_BAND_USU_L1_EXTI18_STF_BIN,AD_DIFF_USU_EXTI33_BIN,D_J_USU_L1_EXTI6_BIN,HILO_13_21_L2_EXTI7_STF_BIN,HILO_13_21_L4_EXTI38_STF_BIN,HWL_USU_EXTI39_BIN,K_D_USU_EXTI5_BIN,THERMO_20_2_0_5_USU_L5_EXTI32_BIN,THERMO_20_2_0_5_USU_L6_EXTI32_BIN,WCP_USU_EXTI4_BIN,WCP_USU_L1_EXTI20_BIN,WCP_USU_L3_EXTI13_BIN,ABER_SG_20_15_USU_EXTI7,ACCBU_20_BAND_USU_L1_EXTI18_STF,AD_DIFF_USU_EXTI33,D_J_USU_L1_EXTI6,HILO_13_21_L2_EXTI7_STF,HILO_13_21_L4_EXTI38_STF,HWL_USU_EXTI39,K_D_USU_EXTI5,THERMO_20_2_0_5_USU_L5_EXTI32,THERMO_20_2_0_5_USU_L6_EXTI32,WCP_USU_EXTI4,WCP_USU_L1_EXTI20,WCP_USU_L3_EXTI13,target,Close,Open,High,Low,Volume
2024-09-10,2,2,2,3,1,1,1,2,1,1,1,1,3,-103.40538671883606,0.006575284611217924,-51.0,50.061479741008405,-0.06076915447528464,-0.006499987382154515,-0.8859846545299265,-3.3487943148200046,-0.16841502586506252,-0.18614292332454274,-0.7124996185302734,0.0,2.1875,0,41.189998626708984,41.18000030517578,42.25,40.29999923706055,488330
2024-09-09,2,3,2,3,2,3,1,2,1,2,3,1,3,-94.86346418438924,0.2763180644345553,126.0,38.87543289385421,0.0,0.11851924068325115,-52.65931868783556,-3.8854467308155183,-0.18614292332454274,-0.07292441525344195,0.28750038146972656,0.0,4.625,0,42.04999923706055,42.31999969482422,42.880001068115234,41.0099983215332,436567
2024-09-06,1,1,2,3,2,2,1,1,2,2,1,1,3,-132.47865950596872,-0.13717000270529578,-115.9178466796875,19.05645938693219,-0.04023082439715964,0.0,-97.03982813858202,-5.149982305787239,-0.07292441525344195,-0.049350669490646315,-0.48999977111816406,0.0,1.9375,0,42.31999969482422,42.83000183105469,42.83000183105469,41.52000045776367,382287
2024-09-05,2,1,2,2,3,2,1,1,2,2,1,1,3,-54.68582699681347,-0.4042402839191004,211.41842536447803,2.604124531457032,0.03753852844238281,0.0,-20.408656607408197,-5.462500855837266,-0.049350669490646315,-0.1326704768054512,-0.31749916076660156,0.0,1.59375,0,42.77000045776367,40.900001525878906,43.86000061035156,39.349998474121094,866959
2024-09-04,2,2,2,1,3,2,1,1,2,2,1,1,2,-99.68903282856584,-0.011844021160422713,-467.0,-11.147613519736211,0.9218223243405959,0.0,-3.6420172061648173,-5.683849252531001,-0.1326704768054512,-0.05288579015339345,-0.470001220703125,0.0,1.25,1,41.099998474121094,41.0,41.81999969482422,40.5,938732
2024-09-03,1,1,2,1,2,3,2,1,2,2,1,1,3,-111.41646548680764,-0.19042424326692675,-123.19056967776851,-17.602332902638963,0.0,0.0056428455171131375,35.40666287159889,-7.82651418243708,-0.05288579015339345,-0.05845271543269803,-0.9575023651123047,0.0,3.875,1,41.41999816894531,42.47999954223633,42.47999954223633,41.04999923706055,1600989
2024-09-02,2,1,2,1,2,3,2,1,2,1,1,1,2,-74.01580430819877,-0.07284947985124024,-163.73926834663143,-29.54635293522847,0.0257143293108264,0.008619058699834703,27.29443154201927,-4.87654259118354,-0.05845271543269803,-0.26773063284666626,-0.8350000381469727,0.0,-1.5,0,42.959999084472656,42.11000061035156,43.310001373291016,42.11000061035156,40519
2024-08-30,2,1,2,1,3,3,1,1,1,2,1,2,3,-31.685663009808003,-0.43138669064568,36.7393564915983,-52.387488167736095,0.06623813084193486,0.005309536343529153,17.82043125048183,-5.2459517308776675,-0.26773063284666626,-0.10841280472526266,-0.7124977111816406,0.8000030517578125,1.5625,0,42.29999923706055,42.599998474121094,42.599998474121094,41.599998474121094,1021333
2024-08-29,3,2,3,1,3,3,2,1,2,2,2,1,3,57.18399601642531,0.03388562083682434,16209.109974214603,-59.585583893673345,0.10414287022182123,0.006357124873570541,35.652188725857314,-8.698261226687585,-0.10841280472526266,-0.010449678906869209,0.21500015258789062,0.0,4.75,0,42.779998779296875,42.63999938964844,43.29999923706055,42.529998779296875,612180
2024-08-28,3,1,3,1,3,2,1,1,2,2,2,1,3,23.13619771028018,-0.2409425211477041,17258.88895754647,-65.1192676025457,0.10366666884649334,0.0019047600882391436,-5.409470214806769,-20.181825612798004,-0.010449678906869209,-0.12092464510759232,-0.18250083923339844,0.0,2.1875,0,42.970001220703125,42.95000076293945,43.439998626708984,42.709999084472656,345930
2024-08-27,3,2,1,1,3,2,2,1,2,1,1,1,1,113.47213381059134,0.017918762847304315,-19994.453137998906,-57.12360917319861,0.08785711015973874,0.001761890593028781,40.71740264159144,-22.681672479143142,-0.12092464510759232,-0.3367785551189178,-0.4550018310546875,0.0,-5.125,0,43.2599983215332,43.529998779296875,43.79999923706055,42.70000076293945,409270
2024-08-26,3,2,3,1,2,2,2,1,1,2,3,1,2,116.25910441858336,-0.015333279705189717,5636.271225758566,-31.11503302055442,-0.0052380334763313385,-0.00040476662772004346,71.48422030415068,-21.761047239171376,-0.3367785551189178,-0.10660392934196178,0.5499992370605469,0.0,1.125,0,43.20000076293945,43.150001525878906,43.79999923706055,43.0,278891
