Date,ABER_SG_20_15_USU_EXTI7_BIN_1,ABER_SG_20_15_USU_EXTI7_BIN_2,ABER_SG_20_15_USU_EXTI7_BIN_3,ACCBU_20_BAND_USU_L1_EXTI18_STF_BIN_1,ACCBU_20_BAND_USU_L1_EXTI18_STF_BIN_2,ACCBU_20_BAND_USU_L1_EXTI18_STF_BIN_3,AD_DIFF_USU_EXTI33_BIN_1,AD_DIFF_USU_EXTI33_BIN_2,AD_DIFF_USU_EXTI33_BIN_3,D_J_USU_L1_EXTI6_BIN_1,D_J_USU_L1_EXTI6_BIN_2,D_J_USU_L1_EXTI6_BIN_3,HILO_13_21_L2_EXTI7_STF_BIN_1,HILO_13_21_L2_EXTI7_STF_BIN_2,HILO_13_21_L2_EXTI7_STF_BIN_3,HILO_13_21_L4_EXTI38_STF_BIN_1,HILO_13_21_L4_EXTI38_STF_BIN_2,HILO_13_21_L4_EXTI38_STF_BIN_3,HWL_USU_EXTI39_BIN_1,HWL_USU_EXTI39_BIN_2,HWL_USU_EXTI39_BIN_3,K_D_USU_EXTI5_BIN_1,K_D_USU_EXTI5_BIN_2,K_D_USU_EXTI5_BIN_3,THERMO_20_2_0_5_USU_L5_EXTI32_BIN_1,THERMO_20_2_0_5_USU_L5_EXTI32_BIN_2,THERMO_20_2_0_5_USU_L5_EXTI32_BIN_3,THERMO_20_2_0_5_USU_L6_EXTI32_BIN_1,THERMO_20_2_0_5_USU_L6_EXTI32_BIN_2,THERMO_20_2_0_5_USU_L6_EXTI32_BIN_3,WCP_USU_EXTI4_BIN_1,WCP_USU_EXTI4_BIN_2,WCP_USU_EXTI4_BIN_3,WCP_USU_L1_EXTI20_BIN_1,WCP_USU_L1_EXTI20_BIN_2,WCP_USU_L3_EXTI13_BIN_1,WCP_USU_L3_EXTI13_BIN_2,WCP_USU_L3_EXTI13_BIN_3,target,probs
2024-08-27,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6483821117380992
2024-08-26,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6229995596179823
2024-08-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4728089528871881
2024-08-22,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.11101735318750432
2024-08-21,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5218053461721274
2024-08-20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6539054252584048
2024-08-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5247932648488197
2024-08-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.46157418617144064
2024-08-15,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.23439432190317838
2024-08-14,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.05694310877307482
2024-08-13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.14406182950688923
2024-08-12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2416612627281044
2024-08-09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.13510230019788516
2024-08-08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.022496024834459488
2024-08-07,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04488197173638121
