Date,ABER_SG_20_15_USU_EXTI28_BIN,ACCBU_20_BAND_USU_L6_STF_BIN,AD_DIFF_USU_L7_EXTI37_BIN,HILO_13_21_L3_EXTI19_STF_BIN,PVOh_12_26_9_L6_EXTI36_BIN,SMIo_5_20_5_EXTI11_BIN,THERMO_20_2_0_5_USU_L1_EXTI20_BIN,ABER_SG_20_15_USU_EXTI28,ACCBU_20_BAND_USU_L6_STF,AD_DIFF_USU_L7_EXTI37,HILO_13_21_L3_EXTI19_STF,PVOh_12_26_9_L6_EXTI36,SMIo_5_20_5_EXTI11,THERMO_20_2_0_5_USU_L1_EXTI20,target,Close,Open,High,Low,Volume
2024-04-23,1,3,2,1,2,3,2,-142.25628053682374,0.2146077288984909,0.0,-0.0504807692307736,-1.9949168235537496,0.03689762273201802,0.27853825147879874,1,36.17180252075195,35.22879749050624,36.65819781757688,35.22879749050624,537710
2024-04-24,1,2,2,1,2,3,2,-159.87071348912053,-0.14794598589099905,0.0,-0.0315504807692264,-3.9539796645887098,0.03714613395258559,-0.15795943913822974,1,35.54644012451172,36.23136036829031,36.23136036829031,35.347911365169466,350897
2024-04-25,1,3,2,1,2,3,2,-151.4308581306186,0.3424022268421396,0.0,-0.0450721153846132,-5.440383992041676,0.03503629972558453,-0.22773711160125548,0,36.95598602294922,35.72511456752612,37.23392400579553,35.72511456752612,412141
2024-04-26,1,2,2,1,2,3,2,-158.2127392684402,-0.1316470465744679,0.0,-0.0447716346153868,-4.731177509969741,0.028211838230006447,0.07669023236076883,0,37.2239990234375,37.25377701093753,37.31333677255859,36.86664802695314,318941
2024-04-29,2,1,2,1,2,3,2,-13.183640794535387,-0.6048664186750834,0.0,-0.046875,-4.756266206277277,0.042502445736814165,-0.2274885992926377,0,37.34000015258789,37.630001068115234,37.630001068115234,36.75,169378
2024-04-30,2,2,2,1,2,2,2,-62.300342760573955,-0.1484332118090954,0.0,-0.026141826923080203,-3.5701490727702163,0.01654781946069911,-0.09272778031238649,0,36.650001525878906,37.11000061035156,37.43000030517578,36.43000030517578,296237
2024-05-02,2,3,2,1,2,1,2,-11.246272981699285,0.5271297126696677,0.0,-0.0808293269230802,-4.24448214588144,-0.040950659546854284,-0.16544014442805333,1,36.369998931884766,36.54999923706055,37.630001068115234,35.90999984741211,227334
2024-05-03,2,2,2,1,2,3,2,-3.760863811272251,0.12261571096176382,0.0,-0.011418269230759392,-3.7048417351033343,0.031502776788331355,0.03409582170795178,1,36.91999816894531,36.97999954223633,37.119998931884766,36.279998779296875,125335
2024-05-06,2,3,2,1,2,3,2,-1.001220537545606,0.6811731115461086,0.0,-0.014423076923080203,-3.337451274465121,0.04521461516999298,0.5115033624976707,1,36.709999084472656,37.040000915527344,37.09000015258789,36.4900016784668,138732
2024-05-07,3,1,2,1,2,3,2,84.27282329910793,-0.36358149518625993,0.0,-0.059094551282058205,-4.819130348853183,0.05647194171840275,0.10936613749789253,1,36.97999954223633,36.9900016784668,37.02000045776367,36.2599983215332,154121
2024-05-08,3,2,2,1,1,3,2,73.65415584771542,-0.15812202161116673,2.0,-0.02325148809522659,-10.007491530459545,0.12981700079035538,-0.1696508755971448,1,37.59000015258789,36.86000061035156,37.619998931884766,36.5,447685
2024-05-09,3,3,2,1,1,3,2,101.87901424956898,0.3772685819304886,0.0,-0.01283482142858361,-14.084947145154548,0.11752999365314817,-0.19590436363551195,0,37.70000076293945,36.86000061035156,38.0,36.599998474121094,142576
2024-05-10,3,3,2,1,1,3,2,163.4068586604366,0.7735330949260302,0.0,-0.009486607142846992,-16.866382506437255,0.07784934180891129,-0.20552061471784416,0,37.619998931884766,37.95000076293945,38.08000183105469,37.599998474121094,228531
