Date,ACCBU_20_BAND_USU_L2_EXTI22_STF_BIN,AD_DIFF_USU_L5_EXTI38_BIN,AROONOSC_14_L3_EXTI33_BIN,BBPU_20_2_0_USU_L2_EXTI15_BIN,D_J_USU_L1_EXTI6_BIN,K_D_USU_L5_EXTI25_BIN,PVOh_12_26_9_L1_EXTI16_BIN,QQE_DELS_USU_L2_EXTI13_BIN,SMIo_5_20_5_L2_EXTI27_BIN,THERMO_20_2_0_5_USU_L4_BIN,WCP_L3_STF_BIN,WCP_L6_STF_BIN,WCP_USU_L3_EXTI34_BIN,ACCBU_20_BAND_USU_L2_EXTI22_STF,AD_DIFF_USU_L5_EXTI38,AROONOSC_14_L3_EXTI33,BBPU_20_2_0_USU_L2_EXTI15,D_J_USU_L1_EXTI6,K_D_USU_L5_EXTI25,PVOh_12_26_9_L1_EXTI16,QQE_DELS_USU_L2_EXTI13,SMIo_5_20_5_L2_EXTI27,THERMO_20_2_0_5_USU_L4,WCP_L3_STF,WCP_L6_STF,WCP_USU_L3_EXTI34,target,Close,Open,High,Low,Volume
2024-06-25,1,3,2,3,2,2,2,3,1,2,2,2,2,-0.8911874285595545,454.0,-21.42857142857143,-7.605229114414577,-5.4753572328787925,-0.9642041980163842,-10.243481988670077,6.441809437277939,-0.102076937873412,0.07984321082404211,-0.08749866485595703,0.05500030517578125,-5.0,0,43.63999938964844,43.470001220703125,43.9900016784668,42.099998474121094,2021816
2024-06-24,2,3,2,3,3,2,2,3,1,3,2,1,1,-0.07458922654389966,428.2195538524247,-21.42857142857143,-7.709733790085033,27.70869233185072,0.9797169079516515,-10.705942943698098,6.5351570300716375,-0.06834000494022442,0.28824470757402354,-0.017500877380371094,-0.3924999237060547,-24.94970703125,0,43.29999923706055,43.130001068115234,43.58000183105469,42.41999816894531,2558183
2024-06-21,3,3,2,2,3,2,1,3,1,2,3,1,1,1.4777532678150465,577.0,-21.428571428571416,-23.579604393786838,37.64328342277551,2.3639920661123703,-11.64299795970738,6.561859352229163,-0.06137047599663342,-0.191412065793493,1.4750003814697266,-1.0824995040893555,-13.12451171875,1,42.81999969482422,43.720001220703125,43.779998779296875,42.58000183105469,12725711
2024-06-20,1,2,2,2,3,2,1,3,1,1,2,1,3,-1.4616230199955886,0.0,-21.42857142857143,-46.19680984094608,39.156723688125055,-2.4040535112207753,-12.394492347624613,6.120089192276247,-0.05418222487904936,-0.6915602465343995,0.05500030517578125,-0.44750022888183594,26.275390625,0,43.720001220703125,42.529998779296875,43.790000915527344,41.900001525878906,1939275
2024-06-19,1,3,2,2,3,2,1,3,1,2,1,2,3,-1.9723615986210348,311.99964237285894,-21.42857142857143,-54.29041838763507,34.91569110915121,1.2188064549546365,-12.371056995452307,6.729666674181054,-0.047840772854902236,-0.11435835077743262,-0.3924999237060547,0.25749969482421875,31.07470703125,0,43.349998474121094,44.220001220703125,44.220001220703125,42.560001373291016,566246
2024-06-18,3,3,2,1,3,2,1,3,2,1,1,1,1,0.7188261485902565,388.0,-21.42857142857143,-67.74738590829928,18.787352775193114,-5.660389678456301,-11.373954532619518,5.840280218015323,0.02370381865241128,-0.6663931727419772,-1.0824995040893555,-1.419999122619629,-53.67529296875,0,43.650001525878906,41.25,45.0,41.25,2019153
2024-06-17,2,3,2,1,1,2,2,3,3,1,1,1,1,-0.38818482189797976,287.0120731286588,-21.428571428571416,-66.33298278024348,-13.626888164501295,-4.06002868413478,-10.471237848405138,5.628092465473273,0.07043198687258198,-0.8665408906195249,-0.44750022888183594,-1.9000005722045898,-34.4501953125,1,41.43000030517578,43.0,43.4900016784668,41.29999923706055,986879
2024-06-14,3,1,1,1,1,2,1,3,3,3,2,3,1,0.3851871169727943,-249.6738557406934,-71.42857142857143,-65.13039649591991,-18.866338249931758,0.555790724122339,-11.035089410084726,6.855831979962538,0.05290471011799641,0.6122439736131651,0.25749969482421875,0.38499927520751953,-19.849609375,1,41.81999969482422,42.279998779296875,42.4900016784668,41.29999923706055,1923610
2024-06-13,3,3,1,1,2,2,1,3,2,3,1,3,3,1.385525633710202,376.0,-71.42857142857143,-65.46332421519747,-1.1832994679743507,4.157283296851727,-11.84881608282371,6.353445572237426,0.023772318640652212,0.7866913180292712,-1.419999122619629,2.090001106262207,20.12548828125,1,42.09000015258789,42.83000183105469,43.0,41.81999969482422,3247426
2024-06-12,3,3,1,1,2,2,2,3,2,3,1,3,1,1.683452751795837,405.0436038801563,-71.42857142857143,-61.72608616365093,13.920108357729575,1.9955221851710476,-10.080931465430801,5.661419961504805,0.02592490273339154,0.5495012356291862,-1.9000005722045898,1.664999008178711,-33.25,0,43.20000076293945,44.150001525878906,44.16999816894531,42.7599983215332,3010299
2024-06-11,3,1,1,1,2,2,2,3,3,3,3,1,3,1.2102318861453814,-563.6644380566722,-71.42857142857143,-66.13027529282358,9.72132007289251,-3.8189416411330814,-7.1257320698832505,6.097433728892476,0.051913902112086324,0.6873453020132616,0.38499927520751953,-2.9750003814697266,24.4248046875,0,44.0,43.2599983215332,44.79999923706055,42.31999969482422,2575747
2024-06-10,1,2,1,1,1,1,3,3,3,3,3,1,3,-1.3151519791407296,162.66666666665697,-71.42857142857143,-63.81851895875532,-20.0669257363365,-6.785451641949425,-5.958407282088542,5.111920919493166,0.05270043641682606,0.36969423472158613,2.090001106262207,-0.8274984359741211,20.349609375,0,43.27000045776367,44.66999816894531,44.72999954223633,42.81999969482422,1855390
2024-06-07,1,2,3,1,1,1,2,3,3,3,3,3,3,-2.926003169580861,-135.65992552958778,35.71428571428571,-68.64809886682569,-40.65574769755155,-11.256264057341149,-7.698439914530534,6.7390147277194,0.04673076966453757,2.8386097224996396,1.664999008178711,0.5199995040893555,17.0244140625,0,44.349998474121094,46.33000183105469,46.79999923706055,44.27000045776367,2675396
2024-06-06,1,1,3,1,1,1,2,3,3,2,1,2,1,-1.9722917306394017,-687.2730273797642,42.85714285714286,-73.90100782054074,-48.09104607678238,-11.847723582022352,-8.009968642810138,6.651874278582142,0.07612598517572942,-0.2225898644309081,-2.9750003814697266,-0.16499996185302734,-23.400390625,0,46.52000045776367,47.84000015258789,48.97999954223633,45.349998474121094,2496881
