Date,ABER_XG_20_15_USU_L7_EXTI20_BIN,ACCBU_20_BAND_USU_L1_EXTI31_STF_BIN,ACCBU_20_BAND_USU_L3_EXTI30_STF_BIN,AD_DIFF_USU_L2_EXTI17_BIN,AD_DIFF_USU_L3_EXTI17_BIN,AD_DIFF_USU_L7_EXTI17_BIN,K_D_USU_L7_EXTI22_BIN,LDECAY_5_L6_EXTI27_STF_BIN,MACDh_12_26_9_L3_EXTI33_BIN,PSARaf_0_02_0_2_L3_EXTI7_BIN,PVOh_12_26_9_EXTI26_BIN,PVOh_12_26_9_L5_EXTI17_BIN,PVOh_12_26_9_L6_EXTI3_BIN,SMIo_5_20_5_L1_EXTI11_BIN,SQZ_20_2_0_20_1_5_L3_EXTI7_BIN,ABER_XG_20_15_USU_L7_EXTI20,ACCBU_20_BAND_USU_L1_EXTI31_STF,ACCBU_20_BAND_USU_L3_EXTI30_STF,AD_DIFF_USU_L2_EXTI17,AD_DIFF_USU_L3_EXTI17,AD_DIFF_USU_L7_EXTI17,K_D_USU_L7_EXTI22,LDECAY_5_L6_EXTI27_STF,MACDh_12_26_9_L3_EXTI33,PSARaf_0_02_0_2_L3_EXTI7,PVOh_12_26_9_EXTI26,PVOh_12_26_9_L5_EXTI17,PVOh_12_26_9_L6_EXTI3,SMIo_5_20_5_L1_EXTI11,SQZ_20_2_0_20_1_5_L3_EXTI7,target,Close,Open,High,Low,Volume
2024-04-23,3,3,2,2,3,3,1,1,2,3,2,3,2,2,1,252.9247192245914,0.3228991629638198,-0.34393009274608133,-48864.49620129494,50377.592609726125,72407.67543958407,-8.060972820532893,-210.099609375,0.7578636170163238,0.16,0.07254551354904393,3.2243349677187627,-1.3521721702993705,0.01662966048675471,-3.0816663106282554,1,65.02999877929688,64.33999633789062,65.43000030517578,63.90999984741211,15439905
2024-04-24,3,3,3,3,2,1,1,1,3,3,2,2,2,3,1,177.44308608625107,0.5516334913803238,0.44595470619486655,82807.26550777117,-48864.49620129494,-131667.29198725917,-10.80123081257116,-159.80078125,1.0624727686434292,0.18,-0.17619441075429973,0.8556492220505119,-1.9345329434878895,0.05202331394832774,-3.3266658782958984,1,65.91999816894531,65.20999908447266,66.77999877929688,64.91000366210938,16669659
2024-04-25,3,1,1,2,3,2,1,1,3,3,2,2,2,3,1,156.0724556833401,-0.3647235972773242,-1.285819317795161,21473.071167914895,82807.26550777117,19674.5300824258,-10.525039521402542,-83.89960937499927,1.2433639711352482,0.18,0.9645253840255683,-0.44014401960301086,-4.297737614042836,0.04985569384355645,-3.423332850138346,0,67.66999816894531,66.5199966430664,68.25,66.25,31979030
2024-04-26,2,2,3,2,2,3,1,3,3,3,3,2,2,3,1,76.89519803554461,-0.09352410502156872,0.8420376500433573,-47426.5376220881,21473.071167914895,95217.6773563854,-9.138884117359389,52.30078125,1.3535430814262406,0.18,1.4354042629289134,-1.5315550743269055,-5.485483251889538,0.08419661838115615,-3.6533330281575522,0,66.6500015258789,67.31999969482422,67.83999633789062,66.25,12269742
2024-04-29,2,1,2,2,2,3,1,3,3,3,2,1,2,3,1,78.92143265981755,-0.6266347597538182,0.3644139476198358,14767.732489193324,-47426.5376220881,50377.592609726125,-7.984700844027374,99.0,1.404156349292113,0.18,0.6707443144318701,-3.9911898812991105,-5.34752043656826,0.13110637764692515,-3.686666488647461,0,66.9800033569336,66.83999633789062,67.04000091552734,66.11000061035156,15585572
2024-04-30,2,1,2,3,2,2,1,3,3,3,3,1,2,3,1,36.284569033192014,-0.35976604841304294,0.03412388451189052,96595.03238654509,14767.732489193324,-48864.49620129494,-4.749029242992625,64.599609375,1.2265104780612923,0.18,1.9787785796096378,-6.985001081533852,-5.924901803866703,0.13005663389113895,-3.5966663360595703,1,63.849998474121094,66.88999938964844,67.68000030517578,63.849998474121094,27162419
2024-05-02,1,3,2,1,3,2,3,3,3,1,2,1,2,3,1,-42.25628053682372,0.9020589229587586,-0.3630086159039596,-65053.534664531704,99851.65631532553,21473.071167914895,7.434312181022037,139.49921874999927,1.0100365183455182,0.04,0.9895776152547895,-9.915581547295037,-6.608765221118167,0.03504069859410809,-2.938333511352539,1,63.310001373291016,64.37000274658203,64.37000274658203,63.25,27230978
2024-05-03,1,2,3,2,1,2,3,1,2,1,3,1,2,2,1,-59.870713489120554,0.015562024358136028,0.4960415582384847,-45305.81049501104,-65053.534664531704,-47426.5376220881,10.214884004543727,-126.09882812499927,0.9540447191717498,0.02,1.1771049547535268,-7.627796561235122,-6.084418268867197,-0.008692008786506125,-3.0199998219807944,1,64.23999786376953,63.4900016784668,64.55000305175781,63.36000061035156,12095707
2024-05-06,1,2,2,3,2,2,3,3,2,1,2,1,1,2,1,-51.430858130618596,-0.1439326086143513,0.1605731599523974,116241.98819730221,-45305.81049501104,14767.732489193324,9.66359864636592,83.798828125,0.6219802125579479,0.02,-0.40199445827090896,-3.824363271447794,-7.033309047114679,-0.0005892752886581809,-2.9066670735677085,1,65.73999786376953,64.58999633789062,65.8499984741211,63.779998779296875,17157672
2024-05-07,1,1,2,3,3,3,3,3,3,1,2,2,1,2,1,-58.2127392684402,-0.20849813123014727,0.2586699799908381,158506.8875840305,116241.98819730221,96595.03238654509,18.179456668907804,42.400390625,1.2943487457121514,0.02,-0.6206956810062154,-1.6211522616067073,-8.616693443352526,0.010503274725078296,-2.756666819254557,1,65.51000213623047,65.8499984741211,65.8499984741211,64.80999755859375,27626193
